file,needle,hits,hit_count
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py,curve,"28:CrossAttention_Curve, | 46:from losses import L_spa, HistogramPriorLoss, gamma_curve, s_curve | 313:curve = torch.linspace(0, 1, 255).unsqueeze(0).cuda()   # Luminance Curve | 314:self.curve = torch.nn.Parameter(curve) | 315:self.curve_optimizers = [ | 317:[self.curve], | 318:# [self.curve, self.curve_2, self.curve_3], | 325:self.curve_adjust = CrossAttention().to(self.device)    # Output the curve bias parameters, L_k_b",24
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py,valset,"291:self.valset = Dataset(self.parser, split=""val"") # Validation Set | 957:self.valset, batch_size=1, shuffle=False, num_workers=1",2
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py,render_traj,"786:self.render_traj(step) | 1039:def render_traj(self, step: int): | 1120:runner.render_traj(step=ckpt[""step""])",3
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py,image_ids,"422:image_ids = kwargs.pop(""image_ids"", None) | 426:embed_ids=image_ids, | 542:image_ids = data[""image_id""].to(device) | 546:camtoworlds = self.pose_perturb(camtoworlds, image_ids) | 549:camtoworlds = self.pose_adjust(camtoworlds, image_ids) | 563:image_ids=image_ids, | 586:normal= (self.axis1_para[image_ids] + torch.Tensor([1, 0, 0]).to(colors_low.device)).unsqueeze(0) | 588:normal2 = (self.axis2_para[image_ids] + torch.Tensor([1, 0]).to(colors_low.device)).unsqueeze(0)",8
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py,app_opt,"144:app_opt: bool = False | 148:app_opt_lr: float = 1e-3 | 150:app_opt_reg: float = 1e-6 | 295:feature_dim = 32 if cfg.app_opt else None | 365:self.app_optimizers = [] | 366:if cfg.app_opt: | 373:self.app_optimizers = [ | 376:lr=cfg.app_opt_lr * math.sqrt(cfg.batch_size) * 10.0,",12
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\datasets\colmap.py,transforms_train,"140:with open(os.path.join(self.data_dir, 'transforms_train.json'), 'r') as f_train:",1
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\datasets\colmap.py,transforms_test,"147:with open(os.path.join(self.data_dir, 'transforms_test.json'), 'r') as f_val:",1
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\datasets\colmap.py,high,"150:image_val.append(i['file_path'].replace('high/','')) | 293:_high_path = self.parser.image_paths[index].replace(self.parser.exp_name, 'high') | 294:if not os.path.exists(_high_path): | 296:_base, _ext = os.path.splitext(_high_path) | 297:_high_path_upper = _base + _ext.upper() | 298:if os.path.exists(_high_path_upper): | 299:_high_path = _high_path_upper | 300:image = imageio.imread(_high_path)[..., :3]",10
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\datasets\colmap.py,low,"144:image_train.append(i['file_path'].replace('low/','')) | 174:colmap_to_image_lower = {k.lower(): v for k, v in colmap_to_image.items()} | 177:os.path.join(image_dir, colmap_to_image.get(f, colmap_to_image_lower[f.lower()])) | 302:# print('the index path is', self.parser.image_paths[index].replace('low', 'high'))",4
G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\datasets\colmap.py,split,"135:## Split Train &Test in LOM dataset | 265:split: str = ""train"", | 270:self.split = split | 274:self.split = split | 275:if split == ""train"": | 289:if self.split == 'train': | 296:_base, _ext = os.path.splitext(_high_path) | 382:dataset = Dataset(parser, split=""train"", load_depths=True)",8
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\phototourism.py,horizontal_half_dataset,"191:def horizontal_half_dataset(dataset: Dataset, left: bool = True) -> Dataset: | 224:optimization_dataset = horizontal_half_dataset(dataset, left=True)",2
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\phototourism.py,optimize_embedding,227:pred = method.optimize_embedding(optimization_dataset),1
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\phototourism.py,w//2,"243:metrics = self._compute_metrics(color_srgb[:, (w//2):], gt_srgb[:, (w//2):])",1
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\phototourism.py,compute_metrics,"217:from wildgaussians.evaluation import compute_metrics | 218:self._compute_metrics = compute_metrics | 243:metrics = self._compute_metrics(color_srgb[:, (w//2):], gt_srgb[:, (w//2):])",3
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\utils.py,image_to_srgb,"130:def image_to_srgb(tensor, dtype, color_space: Optional[str] = None, allow_alpha: bool = False, background_color: Optional[np.ndarray] = None):",1
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\utils.py,black background,"135:# NOTE: here we blend with black background | 140:# Default is black background [0, 0, 0]",2
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\utils.py,linear_to_srgb,125:def linear_to_srgb(img): | 146:tensor = linear_to_srgb(tensor),2
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\colmap.py,train_list,"327:if test_indices is None and ((path / ""train_list.txt"").exists() or (path / ""test_list.txt"").exists()):",1
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\colmap.py,test_list,"327:if test_indices is None and ((path / ""train_list.txt"").exists() or (path / ""test_list.txt"").exists()):",1
G:\WL3DGS\external_baselines\wild-gaussians\wildgaussians\datasets\colmap.py,Indices.every_iters,342:test_indices = Indices.every_iters(8),1
