scene_name,source_type,image_count,train_count,test_count,manifest_path,manifest_sha256,existing_valid_run,designated_run_id,needs_new_training,output_path,status
web_doss_images,web,759,664,95,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_doss_images_SPLIT.json,a6b8054f0c2301eb703f69ade2a14627b193431ca08f6fae80ead590c1b2663c,False,web_doss_images-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\web_doss_images,pending_gpt_approval_for_single_30k
web_Trento_Duomo_images,web,565,494,71,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_Trento_Duomo_images_SPLIT.json,2bf9de692b7fe6501bb3b1b3a1c2d19dcd4d7eed14cebad1b8e75b7b657c91e6,False,web_Trento_Duomo_images-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\web_Trento_Duomo_images,pending_gpt_approval_for_single_30k
web_Terrestrial,web,190,166,24,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_Terrestrial_SPLIT.json,567742eebac1d1ede9e726ea254172668b5d63d7bc137f61f7792658d572b0c0,True,M-G1,False,G:\wl3dgs\3dgs_runs\two_scene_strict_screening_20260701\screening\M\M-G1\web_Terrestrial,designated_existing_valid
self_double-action_press,self,180,157,23,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\self_double-action_press_SPLIT.json,bb9e64061dfc08f21b76264daf4c846e97f0f84c67af449a3bdea06648690a75,False,self_double-action_press-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\self_double-action_press,pending_gpt_approval_for_single_30k
web_cyprus_images,web,178,155,23,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_cyprus_images_SPLIT.json,db764139f5a3bf505bc93402eca3a12730abbda333ab10bb3b9676e250bfb8dd,False,web_cyprus_images-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\web_cyprus_images,pending_gpt_approval_for_single_30k
self_CLG899III_Wheel_Loader,self,172,150,22,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\self_CLG899III_Wheel_Loader_SPLIT.json,da96a0bf030db760f0e8878d5dfa42d12b4aae76adbe494e561fda5b4e747c38,False,self_CLG899III_Wheel_Loader-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\self_CLG899III_Wheel_Loader,pending_gpt_approval_for_single_30k
web_metopa_images,web,105,91,14,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_metopa_images_SPLIT.json,b6dfa34bbb7adddb7136b50475e169c2cbb01653969499e15960c7b6c144a74e,False,web_metopa_images-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\web_metopa_images,pending_gpt_approval_for_single_30k
web_statue_images,web,100,87,13,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_statue_images_SPLIT.json,217c1ccaf6e79dc7d0337aa63f9c040e846b01b0ddd97e8095a7f8aff76bfde0,False,web_statue_images-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\web_statue_images,pending_gpt_approval_for_single_30k
self_Steam_Locomotive,self,80,70,10,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\self_Steam_Locomotive_SPLIT.json,42b57444323f45313a66a1f328de68062f7d4dfa61efb52092e467c1a9ad8378,True,H-G1,False,G:\wl3dgs\3dgs_runs\two_scene_strict_screening_20260701\screening\H\H-G1\self_Steam_Locomotive,designated_existing_valid
web_Baalshamin_images,web,45,39,6,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\web_Baalshamin_images_SPLIT.json,782538a61280f9afb8fccd23a8ffa5f931601ce1d471d8a6effa90abac54b2c9,False,web_Baalshamin_images-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\web_Baalshamin_images,pending_gpt_approval_for_single_30k
self_3000t_Press,self,35,30,5,G:\WL3DGS\Improved_GS-W\reports\two_scene_selection\generated_manifests\self_3000t_Press_SPLIT.json,c8f4a5b31c26be8024f9f1209466bd3982eb8e84d2e728bc5e496f5cae2d6e49,False,self_3000t_Press-pending-single-run,True,G:\WL3DGS\3dgs_runs\gsw_strict_12scene_single_run_20260702_pending_gpt\self_3000t_Press,pending_gpt_approval_for_single_30k
self_Trackmobile_4650TM_Mobile_Railcar_Mover,self,15,13,2,G:\WL3DGS\Improved_GS-W\reports\baseline_completion\generated_manifests\self_Trackmobile_4650TM_Mobile_Railcar_Mover_SPLIT.json,f56a74221510d7ea9ac3c8f9a22a22b310e1801a65c4872eb7f4f2b253a76b62,True,Trackmobile-R1,False,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover,designated_existing_valid
