method,scene,metric_available,psnr,ssim,lpips,failure_count,last_failure_note,log_path,output_path,ckpt_count,render_count,stats_file_count,oom,nan,missing_file,assertion,cuda_compile,traceback,tail,image_path,image_min,image_max,image_mean,image_std,black_pixel_ratio,finite,image_sha256
Luminance-GS,self_3000t_Press,True,5.882085800170898,0.141762375831604,0.9776422381401062,3,exit_code=1,G:\wl3dgs\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_self_3000t_Press_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter10\self_3000t_Press,1,10,2,False,True,False,False,False,True,"Step 7400: 29512 GSs duplicated, 934 GSs split. Now having 1660841 GSs. | Step 7400: 2228 GSs pruned. Now having 1658613 GSs. | Step 7500: 30571 GSs duplicated, 1084 GSs split. Now having 1690268 GSs. | Step 7500: 2190 GSs pruned. Now having 1688078 GSs. | Step 7600: 29444 GSs duplicated, 970 GSs split. Now having 1718492 GSs. | Step 7600: 2126 GSs pruned. Now having 1716366 GSs. | Step 7700: 27936 GSs duplicated, 822 GSs split. Now having 1745124 GSs. | Step 7700: 2282 GSs pruned. Now having 1742842 GSs. | Step 7800: 28685 GSs duplicated, 1051 GSs split. Now having 1772578 GSs. | Step 7800: 2109 GSs pruned. Now having 1770469 GSs. | Step 7900: 26590 GSs duplicated, 752 GSs split. Now having 1797811 GSs. | Step 7900: 2226 GSs pruned. Now having 1795585 GSs. | Step:  9999 {'mem': 5.835090637207031, 'ellipse_time': 1392.9261236190796, 'num_GS': 1795585} | Running evaluation... | PSNR: 18.412, SSIM: 0.7312, LPIPS: 0.291 Time: 0.064s/image Number of GS: 1795585 | Traceback (most recent call last): |   File ""G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py"", line 1132, in <module> |     main(cfg) |   File ""G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py"", line 1122, in main |     runner.train() |   File ""G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py"", line 626, in train |     raise RuntimeError( | RuntimeError: Non-finite training loss at step=23909: loss=nan, low=0.015585793182253838, enh=0.0167241208255291, contrast=0.0005375313921831548, hist=nan | returncode=1 | elapsed_seconds=3550.32",G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter10\self_3000t_Press\renders\val_0000_enh.png,0.0,0.18039216101169586,0.041761502623558044,0.023815909400582314,0.16263402777777777,True,c4471214a5107598e0d097e28cfea151a345ef6a6ccc715e4d45dd24da490746
Luminance-GS,self_CLG899III_Wheel_Loader,True,19.556604385375977,0.7455547451972961,0.26318806409835815,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_self_CLG899III_Wheel_Loader_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\self_CLG899III_Wheel_Loader,0,0,0,False,True,False,False,False,False,"Step 7100: 3220 GSs pruned. Now having 1655787 GSs. | Step 7200: 37766 GSs duplicated, 2257 GSs split. Now having 1695810 GSs. | Step 7200: 3012 GSs pruned. Now having 1692798 GSs. | Step 7300: 35841 GSs duplicated, 2072 GSs split. Now having 1730711 GSs. | Step 7300: 3403 GSs pruned. Now having 1727308 GSs. | Step 7400: 36760 GSs duplicated, 1994 GSs split. Now having 1766062 GSs. | Step 7400: 3090 GSs pruned. Now having 1762972 GSs. | Step 7500: 36764 GSs duplicated, 1923 GSs split. Now having 1801659 GSs. | Step 7500: 2976 GSs pruned. Now having 1798683 GSs. | Step 7600: 36970 GSs duplicated, 1811 GSs split. Now having 1837464 GSs. | Step 7600: 3140 GSs pruned. Now having 1834324 GSs. | Step 7700: 35578 GSs duplicated, 2313 GSs split. Now having 1872215 GSs. | Step 7700: 3077 GSs pruned. Now having 1869138 GSs. | Step 7800: 34145 GSs duplicated, 1573 GSs split. Now having 1904856 GSs. | Step 7800: 2886 GSs pruned. Now having 1901970 GSs. | Step 7900: 31329 GSs duplicated, 1528 GSs split. Now having 1934827 GSs. | Step 7900: 3156 GSs pruned. Now having 1931671 GSs. | Step:  9999 {'mem': 5.992717742919922, 'ellipse_time': 1448.6250567436218, 'num_GS': 1931671} | Running evaluation... | PSNR: 19.894, SSIM: 0.7355, LPIPS: 0.325 Time: 0.071s/image Number of GS: 1931671 | Step:  29999 {'mem': 5.992717742919922, 'ellipse_time': 4355.1774644851685, 'num_GS': 1931671} | Running evaluation... | PSNR: 19.557, SSIM: 0.7456, LPIPS: 0.263 Time: 0.068s/image Number of GS: 1931671 | returncode=0 | elapsed_seconds=4412.57",,,,,,,,
Luminance-GS,self_Steam_Locomotive,True,16.36022186279297,0.586249053478241,0.3278084695339203,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_self_Steam_Locomotive_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\self_Steam_Locomotive,3,20,7,False,True,False,False,False,False,"Step 7100: 4231 GSs pruned. Now having 1755912 GSs. | Step 7200: 51704 GSs duplicated, 2015 GSs split. Now having 1809631 GSs. | Step 7200: 4217 GSs pruned. Now having 1805414 GSs. | Step 7300: 55544 GSs duplicated, 1871 GSs split. Now having 1862829 GSs. | Step 7300: 4166 GSs pruned. Now having 1858663 GSs. | Step 7400: 46846 GSs duplicated, 1155 GSs split. Now having 1906664 GSs. | Step 7400: 4211 GSs pruned. Now having 1902453 GSs. | Step 7500: 53435 GSs duplicated, 1780 GSs split. Now having 1957668 GSs. | Step 7500: 3957 GSs pruned. Now having 1953711 GSs. | Step 7600: 50424 GSs duplicated, 1246 GSs split. Now having 2005381 GSs. | Step 7600: 4297 GSs pruned. Now having 2001084 GSs. | Step 7700: 52099 GSs duplicated, 1677 GSs split. Now having 2054860 GSs. | Step 7700: 3840 GSs pruned. Now having 2051020 GSs. | Step 7800: 49050 GSs duplicated, 1264 GSs split. Now having 2101334 GSs. | Step 7800: 4686 GSs pruned. Now having 2096648 GSs. | Step 7900: 51042 GSs duplicated, 1320 GSs split. Now having 2149010 GSs. | Step 7900: 4237 GSs pruned. Now having 2144773 GSs. | Step:  9999 {'mem': 6.341348171234131, 'ellipse_time': 1392.7103123664856, 'num_GS': 2144773} | Running evaluation... | PSNR: 16.449, SSIM: 0.5845, LPIPS: 0.427 Time: 0.075s/image Number of GS: 2144773 | Step:  29999 {'mem': 6.341348171234131, 'ellipse_time': 4479.432411432266, 'num_GS': 2144773} | Running evaluation... | PSNR: 16.360, SSIM: 0.5862, LPIPS: 0.328 Time: 0.068s/image Number of GS: 2144773 | returncode=0 | elapsed_seconds=4517.71",G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\self_Steam_Locomotive\renders\val_0000_enh.png,0.007843137718737125,1.0,0.5546500086784363,0.2553670406341553,2.0833333333333334e-06,True,7422b4044341dd80574fa3cde5285c92d24c9d866c9d1c15d88e5139ff135f56
Luminance-GS,self_Trackmobile_4650TM_Mobile_Railcar_Mover,False,,,,1,exit_code=1,G:\wl3dgs\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_self_Trackmobile_4650TM_Mobile_Railcar_Mover_train_render_metrics.log,G:\WL3DGS\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover,1,4,2,False,True,False,False,False,True,"Step 5700: 1799 GSs pruned. Now having 3101591 GSs. | Step 5800: 52669 GSs duplicated, 648 GSs split. Now having 3154908 GSs. | Step 5800: 1511 GSs pruned. Now having 3153397 GSs. | Step 5900: 52595 GSs duplicated, 663 GSs split. Now having 3206655 GSs. | Step 5900: 1560 GSs pruned. Now having 3205095 GSs. | Step 6000: 47000 GSs duplicated, 566 GSs split. Now having 3252661 GSs. | Step 6000: 1724 GSs pruned. Now having 3250937 GSs. | Step 6100: 31716 GSs duplicated, 4491 GSs split. Now having 3287144 GSs. | Step 6100: 581849 GSs pruned. Now having 2705295 GSs. | Step 6200: 60939 GSs duplicated, 3194 GSs split. Now having 2769428 GSs. | Step 6200: 7667 GSs pruned. Now having 2761761 GSs. | Step 6300: 46372 GSs duplicated, 1557 GSs split. Now having 2809690 GSs. | Step 6300: 3773 GSs pruned. Now having 2805917 GSs. | Step 6400: 48413 GSs duplicated, 1200 GSs split. Now having 2855530 GSs. | Step 6400: 2425 GSs pruned. Now having 2853105 GSs. | Traceback (most recent call last): |   File ""G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py"", line 1132, in <module> |     main(cfg) |   File ""G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py"", line 1122, in main |     runner.train() |   File ""G:\WL3DGS\external_baselines\Luminance-GS\Luminance-GS\examples\simple_trainer_ours.py"", line 626, in train |     raise RuntimeError( | RuntimeError: Non-finite training loss at step=6415: loss=nan, low=0.036033838987350464, enh=0.04329191893339157, contrast=0.002380483318120241, hist=nan | returncode=1 | elapsed_seconds=963.46",G:\WL3DGS\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\renders\val_0000_enh.png,0.0,1.0,0.3989405035972595,0.2660066783428192,0.015986805555555556,True,9b54bb95754c1fea220732741c2a144e5ca2ef06420d26ca701e6805a6f86d4e
Luminance-GS,self_double-action_press,True,23.62457847595215,0.8787432312965393,0.1481071561574936,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_self_double-action_press_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\self_double-action_press,0,0,0,False,True,False,False,False,False,"Step 7100: 3565 GSs pruned. Now having 1341922 GSs. | Step 7200: 30512 GSs duplicated, 1010 GSs split. Now having 1373444 GSs. | Step 7200: 3234 GSs pruned. Now having 1370210 GSs. | Step 7300: 31927 GSs duplicated, 1107 GSs split. Now having 1403244 GSs. | Step 7300: 3525 GSs pruned. Now having 1399719 GSs. | Step 7400: 30842 GSs duplicated, 973 GSs split. Now having 1431534 GSs. | Step 7400: 3398 GSs pruned. Now having 1428136 GSs. | Step 7500: 30024 GSs duplicated, 882 GSs split. Now having 1459042 GSs. | Step 7500: 3270 GSs pruned. Now having 1455772 GSs. | Step 7600: 28543 GSs duplicated, 934 GSs split. Now having 1485249 GSs. | Step 7600: 3396 GSs pruned. Now having 1481853 GSs. | Step 7700: 30491 GSs duplicated, 938 GSs split. Now having 1513282 GSs. | Step 7700: 3519 GSs pruned. Now having 1509763 GSs. | Step 7800: 28605 GSs duplicated, 707 GSs split. Now having 1539075 GSs. | Step 7800: 3371 GSs pruned. Now having 1535704 GSs. | Step 7900: 26467 GSs duplicated, 853 GSs split. Now having 1563024 GSs. | Step 7900: 3428 GSs pruned. Now having 1559596 GSs. | Step:  9999 {'mem': 5.362005233764648, 'ellipse_time': 1509.7978737354279, 'num_GS': 1559596} | Running evaluation... | PSNR: 23.858, SSIM: 0.8749, LPIPS: 0.178 Time: 0.077s/image Number of GS: 1559596 | Step:  29999 {'mem': 5.362005233764648, 'ellipse_time': 4602.593215227127, 'num_GS': 1559596} | Running evaluation... | PSNR: 23.625, SSIM: 0.8787, LPIPS: 0.148 Time: 0.081s/image Number of GS: 1559596 | returncode=0 | elapsed_seconds=4658.81",,,,,,,,
Luminance-GS,web_Baalshamin_images,True,14.72694206237793,0.5635702013969421,0.5300995707511902,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_web_Baalshamin_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_Baalshamin_images,3,12,7,False,True,False,False,False,False,"Step 7100: 1095 GSs pruned. Now having 597265 GSs. | Step 7200: 22961 GSs duplicated, 140 GSs split. Now having 620366 GSs. | Step 7200: 1047 GSs pruned. Now having 619319 GSs. | Step 7300: 21335 GSs duplicated, 113 GSs split. Now having 640767 GSs. | Step 7300: 1027 GSs pruned. Now having 639740 GSs. | Step 7400: 23064 GSs duplicated, 129 GSs split. Now having 662933 GSs. | Step 7400: 1039 GSs pruned. Now having 661894 GSs. | Step 7500: 22769 GSs duplicated, 123 GSs split. Now having 684786 GSs. | Step 7500: 1032 GSs pruned. Now having 683754 GSs. | Step 7600: 24349 GSs duplicated, 134 GSs split. Now having 708237 GSs. | Step 7600: 1052 GSs pruned. Now having 707185 GSs. | Step 7700: 25720 GSs duplicated, 145 GSs split. Now having 733050 GSs. | Step 7700: 1171 GSs pruned. Now having 731879 GSs. | Step 7800: 23263 GSs duplicated, 136 GSs split. Now having 755278 GSs. | Step 7800: 1202 GSs pruned. Now having 754076 GSs. | Step 7900: 22747 GSs duplicated, 132 GSs split. Now having 776955 GSs. | Step 7900: 1173 GSs pruned. Now having 775782 GSs. | Step:  9999 {'mem': 4.8648858070373535, 'ellipse_time': 1907.7750165462494, 'num_GS': 775782} | Running evaluation... | PSNR: 14.639, SSIM: 0.5782, LPIPS: 0.562 Time: 0.072s/image Number of GS: 775782 | Step:  29999 {'mem': 4.8648858070373535, 'ellipse_time': 5888.533648967743, 'num_GS': 775782} | Running evaluation... | PSNR: 14.727, SSIM: 0.5636, LPIPS: 0.530 Time: 0.041s/image Number of GS: 775782 | returncode=0 | elapsed_seconds=5918.53",G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_Baalshamin_images\renders\val_0000_enh.png,0.0,1.0,0.5148710608482361,0.2785453796386719,5.497526113249038e-06,True,fbed1d22bccccc2702f9aeb38598a0464e4d7421878197d83d9ff3524b1574a6
Luminance-GS,web_Terrestrial,True,17.44829559326172,0.7017080187797546,0.4370405375957489,1,exit_code=1,G:\wl3dgs\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_web_Terrestrial_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_Terrestrial,3,48,7,False,True,False,False,False,False,"Step 7100: 3733 GSs pruned. Now having 1976059 GSs. | Step 7200: 51304 GSs duplicated, 445 GSs split. Now having 2027808 GSs. | Step 7200: 4629 GSs pruned. Now having 2023179 GSs. | Step 7300: 47958 GSs duplicated, 460 GSs split. Now having 2071597 GSs. | Step 7300: 3423 GSs pruned. Now having 2068174 GSs. | Step 7400: 47540 GSs duplicated, 400 GSs split. Now having 2116114 GSs. | Step 7400: 3548 GSs pruned. Now having 2112566 GSs. | Step 7500: 57735 GSs duplicated, 468 GSs split. Now having 2170769 GSs. | Step 7500: 3667 GSs pruned. Now having 2167102 GSs. | Step 7600: 42449 GSs duplicated, 383 GSs split. Now having 2209934 GSs. | Step 7600: 3935 GSs pruned. Now having 2205999 GSs. | Step 7700: 48105 GSs duplicated, 425 GSs split. Now having 2254529 GSs. | Step 7700: 3597 GSs pruned. Now having 2250932 GSs. | Step 7800: 49662 GSs duplicated, 393 GSs split. Now having 2300987 GSs. | Step 7800: 3617 GSs pruned. Now having 2297370 GSs. | Step 7900: 40053 GSs duplicated, 303 GSs split. Now having 2337726 GSs. | Step 7900: 3313 GSs pruned. Now having 2334413 GSs. | Step:  9999 {'mem': 7.1788201332092285, 'ellipse_time': 1638.3715064525604, 'num_GS': 2334413} | Running evaluation... | PSNR: 17.063, SSIM: 0.6650, LPIPS: 0.598 Time: 0.088s/image Number of GS: 2334413 | Step:  29999 {'mem': 7.1788201332092285, 'ellipse_time': 5105.416862249374, 'num_GS': 2334413} | Running evaluation... | PSNR: 17.448, SSIM: 0.7017, LPIPS: 0.437 Time: 0.086s/image Number of GS: 2334413 | returncode=0 | elapsed_seconds=5174.22",G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_Terrestrial\renders\val_0000_enh.png,0.0,1.0,0.5411317348480225,0.22256222367286682,0.0006279481132075472,True,a2b801558c40734e1068bc4a9cbecbb1db6628023b8d384d1b7130b1b52af080
Luminance-GS,web_Trento_Duomo_images,True,16.837303161621094,0.5310872197151184,0.5995283126831055,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_web_Trento_Duomo_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_Trento_Duomo_images,0,0,0,False,True,False,False,False,False,"Step 7100: 610 GSs pruned. Now having 554218 GSs. | Step 7200: 12462 GSs duplicated, 252 GSs split. Now having 566932 GSs. | Step 7200: 654 GSs pruned. Now having 566278 GSs. | Step 7300: 11469 GSs duplicated, 243 GSs split. Now having 577990 GSs. | Step 7300: 545 GSs pruned. Now having 577445 GSs. | Step 7400: 10403 GSs duplicated, 151 GSs split. Now having 587999 GSs. | Step 7400: 666 GSs pruned. Now having 587333 GSs. | Step 7500: 10403 GSs duplicated, 210 GSs split. Now having 597946 GSs. | Step 7500: 573 GSs pruned. Now having 597373 GSs. | Step 7600: 11938 GSs duplicated, 192 GSs split. Now having 609503 GSs. | Step 7600: 562 GSs pruned. Now having 608941 GSs. | Step 7700: 9912 GSs duplicated, 190 GSs split. Now having 619043 GSs. | Step 7700: 562 GSs pruned. Now having 618481 GSs. | Step 7800: 12135 GSs duplicated, 248 GSs split. Now having 630864 GSs. | Step 7800: 613 GSs pruned. Now having 630251 GSs. | Step 7900: 10501 GSs duplicated, 242 GSs split. Now having 640994 GSs. | Step 7900: 639 GSs pruned. Now having 640355 GSs. | Step:  9999 {'mem': 3.8012948036193848, 'ellipse_time': 1792.2120516300201, 'num_GS': 640355} | Running evaluation... | PSNR: 16.152, SSIM: 0.4910, LPIPS: 0.739 Time: 0.044s/image Number of GS: 640355 | Step:  29999 {'mem': 3.8012948036193848, 'ellipse_time': 5593.213638305664, 'num_GS': 640355} | Running evaluation... | PSNR: 16.837, SSIM: 0.5311, LPIPS: 0.600 Time: 0.042s/image Number of GS: 640355 | returncode=0 | elapsed_seconds=5705.08",,,,,,,,
Luminance-GS,web_cyprus_images,True,20.947935104370117,0.6876035928726196,0.2811475992202759,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_web_cyprus_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_cyprus_images,0,0,0,False,True,False,False,False,False,"Step 7100: 1134 GSs pruned. Now having 1177008 GSs. | Step 7200: 25858 GSs duplicated, 416 GSs split. Now having 1203282 GSs. | Step 7200: 1192 GSs pruned. Now having 1202090 GSs. | Step 7300: 25637 GSs duplicated, 362 GSs split. Now having 1228089 GSs. | Step 7300: 1128 GSs pruned. Now having 1226961 GSs. | Step 7400: 24674 GSs duplicated, 308 GSs split. Now having 1251943 GSs. | Step 7400: 1177 GSs pruned. Now having 1250766 GSs. | Step 7500: 25302 GSs duplicated, 324 GSs split. Now having 1276392 GSs. | Step 7500: 1132 GSs pruned. Now having 1275260 GSs. | Step 7600: 25861 GSs duplicated, 250 GSs split. Now having 1301371 GSs. | Step 7600: 1102 GSs pruned. Now having 1300269 GSs. | Step 7700: 24475 GSs duplicated, 254 GSs split. Now having 1324998 GSs. | Step 7700: 1088 GSs pruned. Now having 1323910 GSs. | Step 7800: 24582 GSs duplicated, 389 GSs split. Now having 1348881 GSs. | Step 7800: 1199 GSs pruned. Now having 1347682 GSs. | Step 7900: 24083 GSs duplicated, 268 GSs split. Now having 1372033 GSs. | Step 7900: 1019 GSs pruned. Now having 1371014 GSs. | Step:  9999 {'mem': 5.027298927307129, 'ellipse_time': 1460.9570713043213, 'num_GS': 1371014} | Running evaluation... | PSNR: 21.085, SSIM: 0.6953, LPIPS: 0.364 Time: 0.062s/image Number of GS: 1371014 | Step:  29999 {'mem': 5.027298927307129, 'ellipse_time': 4366.095461606979, 'num_GS': 1371014} | Running evaluation... | PSNR: 20.948, SSIM: 0.6876, LPIPS: 0.281 Time: 0.071s/image Number of GS: 1371014 | returncode=0 | elapsed_seconds=4427.61",,,,,,,,
Luminance-GS,web_doss_images,True,23.14156150817871,0.8223193287849426,0.1622236669063568,0,,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\luminance_gs_r1_web_doss_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\luminance_gs_r1_iter30000\web_doss_images,0,0,0,False,True,False,False,False,False,"Step 7100: 2240 GSs pruned. Now having 1651417 GSs. | Step 7200: 41298 GSs duplicated, 463 GSs split. Now having 1693178 GSs. | Step 7200: 2169 GSs pruned. Now having 1691009 GSs. | Step 7300: 39335 GSs duplicated, 425 GSs split. Now having 1730769 GSs. | Step 7300: 2463 GSs pruned. Now having 1728306 GSs. | Step 7400: 36148 GSs duplicated, 358 GSs split. Now having 1764812 GSs. | Step 7400: 1988 GSs pruned. Now having 1762824 GSs. | Step 7500: 43095 GSs duplicated, 439 GSs split. Now having 1806358 GSs. | Step 7500: 2164 GSs pruned. Now having 1804194 GSs. | Step 7600: 40162 GSs duplicated, 380 GSs split. Now having 1844736 GSs. | Step 7600: 2172 GSs pruned. Now having 1842564 GSs. | Step 7700: 51465 GSs duplicated, 404 GSs split. Now having 1894433 GSs. | Step 7700: 2206 GSs pruned. Now having 1892227 GSs. | Step 7800: 39097 GSs duplicated, 349 GSs split. Now having 1931673 GSs. | Step 7800: 2400 GSs pruned. Now having 1929273 GSs. | Step 7900: 42414 GSs duplicated, 323 GSs split. Now having 1972010 GSs. | Step 7900: 2128 GSs pruned. Now having 1969882 GSs. | Step:  9999 {'mem': 4.3077592849731445, 'ellipse_time': 959.0638144016266, 'num_GS': 1969882} | Running evaluation... | PSNR: 23.569, SSIM: 0.8028, LPIPS: 0.223 Time: 0.060s/image Number of GS: 1969882 | Step:  29999 {'mem': 4.3077592849731445, 'ellipse_time': 2817.4815397262573, 'num_GS': 1969882} | Running evaluation... | PSNR: 23.142, SSIM: 0.8223, LPIPS: 0.162 Time: 0.068s/image Number of GS: 1969882 | returncode=0 | elapsed_seconds=2899.65",,,,,,,,
