scene,class,status,clean_official,resolution,iterations,eval_split,full_image,eligible_for_strict_main_table,evidence
web_doss_images,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
web_Trento_Duomo_images,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
web_Terrestrial,A,verified strict matched,True,1,30000,frozen LLFF hold-8,True,True,reports/two_scene_benchmark/TWO_SCENE_SCREENING_RESULTS.csv; frozen manifest; full-image unified evaluation.
self_double-action_press,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
web_cyprus_images,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
self_CLG899III_Wheel_Loader,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
web_metopa_images,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
web_statue_images,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
self_Steam_Locomotive,A,verified strict matched,True,1,30000,frozen LLFF hold-8,True,True,reports/two_scene_benchmark/TWO_SCENE_SCREENING_RESULTS.csv; frozen manifest; full-image unified evaluation.
web_Baalshamin_images,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
self_3000t_Press,B,likely matched but provenance incomplete,False,1,30000,claimed/likely LLFF hold-8,True,False,3dgs_runs/external_baselines_20260620/summary/metrics_all_methods.csv; old external supervisor results require provenance reconciliation.
self_Trackmobile_4650TM_Mobile_Railcar_Mover,A,verified strict matched,True,1,30000,frozen LLFF hold-8,True,True,reports/official_control/UNIFIED_OFFICIAL_GSW_RESULTS.csv; clean Official_3DGS_Strict_Control commit 54c035f; strict full-image repeated evaluation.
