method,scene,psnr,ssim,lpips,psnr_lt_10,log_path,output_path,checkpoint_count,png_count_recursive,oom,nan,missing_file,assertion,cuda_compile,traceback,tail
WildGaussians,self_3000t_Press,12.1853,0.57267,0.77146,False,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_self_3000t_Press_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter10\self_3000t_Press,1,0,False,False,False,False,False,False," 'resources_utilization': {'gpu_memory': 0, 'gpu_name': '', 'memory': 1}, |  'total_train_time': 5543.14095} | evaluating all images at step=30000:   0%|          | 0/5 [00:00<?, ?it/s][A | evaluating all images at step=30000:  20%|██        | 1/5 [00:01<00:04,  1.17s/it][A | evaluating all images at step=30000:  20%|██        | 1/5 [00:01<00:04,  1.17s/it, psnr=5.6518][A | evaluating all images at step=30000:  40%|████      | 2/5 [00:02<00:03,  1.16s/it, psnr=5.6518][A | evaluating all images at step=30000:  40%|████      | 2/5 [00:02<00:03,  1.16s/it, psnr=5.7670][A | evaluating all images at step=30000:  60%|██████    | 3/5 [00:03<00:02,  1.17s/it, psnr=5.7670][A | evaluating all images at step=30000:  60%|██████    | 3/5 [00:03<00:02,  1.17s/it, psnr=5.2886][A | evaluating all images at step=30000:  80%|████████  | 4/5 [00:04<00:01,  1.15s/it, psnr=5.2886][A | evaluating all images at step=30000:  80%|████████  | 4/5 [00:04<00:01,  1.15s/it, psnr=4.8753][A | evaluating all images at step=30000: 100%|██████████| 5/5 [00:05<00:00,  1.17s/it, psnr=4.8753][A | evaluating all images at step=30000: 100%|██████████| 5/5 [00:05<00:00,  1.17s/it, psnr=7.9375][A | evaluating all images at step=30000: 100%|██████████| 5/5 [00:05<00:00,  1.16s/it, psnr=7.9375] | hashing predictions:   0%|          | 0/5 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 5/5 [00:00<00:00, 549.74it/s] | training: 100%|██████████| 30000/30000 [1:33:00<00:00,  5.38it/s, train/psnr=15.6388] | [1;36minfo:[0m Final evaluation results: |    psnr: 5.9040 |    ssim: 0.1260 |    mae: 0.4457 |    mse: 0.2639 |    lpips: 0.7919 | returncode=0 | elapsed_seconds=5583.89"
WildGaussians,web_doss_images,6.23344,0.17188,0.70784,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_web_doss_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\web_doss_images,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  94%|█████████▎| 89/95 [00:38<00:02,  2.28it/s, psnr=6.9769][A | evaluating all images at step=30000:  95%|█████████▍| 90/95 [00:39<00:02,  2.33it/s, psnr=6.9769][A | evaluating all images at step=30000:  95%|█████████▍| 90/95 [00:39<00:02,  2.33it/s, psnr=7.3271][A | evaluating all images at step=30000:  96%|█████████▌| 91/95 [00:39<00:01,  2.28it/s, psnr=7.3271][A | evaluating all images at step=30000:  96%|█████████▌| 91/95 [00:39<00:01,  2.28it/s, psnr=6.1483][A | evaluating all images at step=30000:  97%|█████████▋| 92/95 [00:40<00:01,  2.31it/s, psnr=6.1483][A | evaluating all images at step=30000:  97%|█████████▋| 92/95 [00:40<00:01,  2.31it/s, psnr=6.3170][A | evaluating all images at step=30000:  98%|█████████▊| 93/95 [00:40<00:00,  2.31it/s, psnr=6.3170][A | evaluating all images at step=30000:  98%|█████████▊| 93/95 [00:40<00:00,  2.31it/s, psnr=6.9925][A | evaluating all images at step=30000:  99%|█████████▉| 94/95 [00:40<00:00,  2.33it/s, psnr=6.9925][A | evaluating all images at step=30000:  99%|█████████▉| 94/95 [00:40<00:00,  2.33it/s, psnr=7.3932][A | evaluating all images at step=30000: 100%|██████████| 95/95 [00:41<00:00,  2.35it/s, psnr=7.3932][A | evaluating all images at step=30000: 100%|██████████| 95/95 [00:41<00:00,  2.35it/s, psnr=7.4007][A | evaluating all images at step=30000: 100%|██████████| 95/95 [00:41<00:00,  2.30it/s, psnr=7.4007] | hashing predictions:   0%|          | 0/95 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 95/95 [00:00<00:00, 1178.62it/s] | training: 100%|██████████| 30000/30000 [55:38<00:00,  8.99it/s, train/psnr=25.6922] | [1;36minfo:[0m Final evaluation results: |    psnr: 6.2334 |    ssim: 0.1719 |    mae: 0.4144 |    mse: 0.2403 |    lpips: 0.7078 | returncode=0 | elapsed_seconds=3354.78"
WildGaussians,web_Trento_Duomo_images,4.94073,0.12359,0.95105,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_web_Trento_Duomo_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\web_Trento_Duomo_images,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  93%|█████████▎| 66/71 [01:25<00:06,  1.28s/it, psnr=4.3859][A | evaluating all images at step=30000:  93%|█████████▎| 66/71 [01:25<00:06,  1.28s/it, psnr=3.8009][A | evaluating all images at step=30000:  94%|█████████▍| 67/71 [01:26<00:05,  1.29s/it, psnr=3.8009][A | evaluating all images at step=30000:  94%|█████████▍| 67/71 [01:26<00:05,  1.29s/it, psnr=5.7748][A | evaluating all images at step=30000:  96%|█████████▌| 68/71 [01:28<00:03,  1.29s/it, psnr=5.7748][A | evaluating all images at step=30000:  96%|█████████▌| 68/71 [01:28<00:03,  1.29s/it, psnr=4.3800][A | evaluating all images at step=30000:  97%|█████████▋| 69/71 [01:29<00:02,  1.30s/it, psnr=4.3800][A | evaluating all images at step=30000:  97%|█████████▋| 69/71 [01:29<00:02,  1.30s/it, psnr=5.2199][A | evaluating all images at step=30000:  99%|█████████▊| 70/71 [01:30<00:01,  1.28s/it, psnr=5.2199][A | evaluating all images at step=30000:  99%|█████████▊| 70/71 [01:30<00:01,  1.28s/it, psnr=4.3848][A | evaluating all images at step=30000: 100%|██████████| 71/71 [01:31<00:00,  1.30s/it, psnr=4.3848][A | evaluating all images at step=30000: 100%|██████████| 71/71 [01:31<00:00,  1.30s/it, psnr=5.2851][A | evaluating all images at step=30000: 100%|██████████| 71/71 [01:31<00:00,  1.29s/it, psnr=5.2851] | hashing predictions:   0%|          | 0/71 [00:00<?, ?it/s][A | hashing predictions:  59%|█████▉    | 42/71 [00:00<00:00, 419.99it/s][A | hashing predictions: 100%|██████████| 71/71 [00:00<00:00, 417.64it/s] | training: 100%|██████████| 30000/30000 [1:51:50<00:00,  4.47it/s, train/psnr=18.0317] | [1;36minfo:[0m Final evaluation results: |    psnr: 4.9407 |    ssim: 0.1236 |    mae: 0.4926 |    mse: 0.3246 |    lpips: 0.9510 | returncode=0 | elapsed_seconds=6739.19"
WildGaussians,web_Terrestrial,8.41073,0.17286,0.80246,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_web_Terrestrial_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\web_Terrestrial,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  75%|███████▌  | 18/24 [00:23<00:07,  1.29s/it, psnr=5.7397][A | evaluating all images at step=30000:  79%|███████▉  | 19/24 [00:24<00:06,  1.29s/it, psnr=5.7397][A | evaluating all images at step=30000:  79%|███████▉  | 19/24 [00:24<00:06,  1.29s/it, psnr=6.1418][A | evaluating all images at step=30000:  83%|████████▎ | 20/24 [00:26<00:05,  1.32s/it, psnr=6.1418][A | evaluating all images at step=30000:  83%|████████▎ | 20/24 [00:26<00:05,  1.32s/it, psnr=7.6532][A | evaluating all images at step=30000:  88%|████████▊ | 21/24 [00:27<00:03,  1.31s/it, psnr=7.6532][A | evaluating all images at step=30000:  88%|████████▊ | 21/24 [00:27<00:03,  1.31s/it, psnr=8.1742][A | evaluating all images at step=30000:  92%|█████████▏| 22/24 [00:28<00:02,  1.33s/it, psnr=8.1742][A | evaluating all images at step=30000:  92%|█████████▏| 22/24 [00:28<00:02,  1.33s/it, psnr=8.5989][A | evaluating all images at step=30000:  96%|█████████▌| 23/24 [00:30<00:01,  1.32s/it, psnr=8.5989][A | evaluating all images at step=30000:  96%|█████████▌| 23/24 [00:30<00:01,  1.32s/it, psnr=5.4415][A | evaluating all images at step=30000: 100%|██████████| 24/24 [00:31<00:00,  1.31s/it, psnr=5.4415][A | evaluating all images at step=30000: 100%|██████████| 24/24 [00:31<00:00,  1.31s/it, psnr=5.1718][A | evaluating all images at step=30000: 100%|██████████| 24/24 [00:31<00:00,  1.31s/it, psnr=5.1718] | hashing predictions:   0%|          | 0/24 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 24/24 [00:00<00:00, 380.94it/s] | training: 100%|██████████| 30000/30000 [2:08:52<00:00,  3.88it/s, train/psnr=24.7904] | [1;36minfo:[0m Final evaluation results: |    psnr: 8.4107 |    ssim: 0.1729 |    mae: 0.3479 |    mse: 0.1561 |    lpips: 0.8025 | returncode=0 | elapsed_seconds=7740.73"
WildGaussians,self_double-action_press,6.37292,0.2262,0.72964,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_self_double-action_press_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\self_double-action_press,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  74%|███████▍  | 17/23 [00:19<00:06,  1.16s/it, psnr=5.8268][A | evaluating all images at step=30000:  78%|███████▊  | 18/23 [00:20<00:05,  1.15s/it, psnr=5.8268][A | evaluating all images at step=30000:  78%|███████▊  | 18/23 [00:20<00:05,  1.15s/it, psnr=7.6879][A | evaluating all images at step=30000:  83%|████████▎ | 19/23 [00:21<00:04,  1.16s/it, psnr=7.6879][A | evaluating all images at step=30000:  83%|████████▎ | 19/23 [00:21<00:04,  1.16s/it, psnr=7.5602][A | evaluating all images at step=30000:  87%|████████▋ | 20/23 [00:23<00:03,  1.15s/it, psnr=7.5602][A | evaluating all images at step=30000:  87%|████████▋ | 20/23 [00:23<00:03,  1.15s/it, psnr=5.8880][A | evaluating all images at step=30000:  91%|█████████▏| 21/23 [00:24<00:02,  1.16s/it, psnr=5.8880][A | evaluating all images at step=30000:  91%|█████████▏| 21/23 [00:24<00:02,  1.16s/it, psnr=5.7582][A | evaluating all images at step=30000:  96%|█████████▌| 22/23 [00:25<00:01,  1.15s/it, psnr=5.7582][A | evaluating all images at step=30000:  96%|█████████▌| 22/23 [00:25<00:01,  1.15s/it, psnr=6.2133][A | evaluating all images at step=30000: 100%|██████████| 23/23 [00:26<00:00,  1.16s/it, psnr=6.2133][A | evaluating all images at step=30000: 100%|██████████| 23/23 [00:26<00:00,  1.16s/it, psnr=5.0424][A | evaluating all images at step=30000: 100%|██████████| 23/23 [00:26<00:00,  1.16s/it, psnr=5.0424] | hashing predictions:   0%|          | 0/23 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 23/23 [00:00<00:00, 479.17it/s] | training: 100%|██████████| 30000/30000 [1:39:33<00:00,  5.02it/s, train/psnr=26.4380] | [1;36minfo:[0m Final evaluation results: |    psnr: 6.3729 |    ssim: 0.2262 |    mae: 0.4131 |    mse: 0.2380 |    lpips: 0.7296 | returncode=0 | elapsed_seconds=5979.82"
WildGaussians,web_cyprus_images,6.85807,0.18027,0.71468,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_web_cyprus_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\web_cyprus_images,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  74%|███████▍  | 17/23 [00:19<00:06,  1.14s/it, psnr=6.8498][A | evaluating all images at step=30000:  78%|███████▊  | 18/23 [00:20<00:05,  1.15s/it, psnr=6.8498][A | evaluating all images at step=30000:  78%|███████▊  | 18/23 [00:20<00:05,  1.15s/it, psnr=6.7251][A | evaluating all images at step=30000:  83%|████████▎ | 19/23 [00:21<00:04,  1.14s/it, psnr=6.7251][A | evaluating all images at step=30000:  83%|████████▎ | 19/23 [00:21<00:04,  1.14s/it, psnr=6.6147][A | evaluating all images at step=30000:  87%|████████▋ | 20/23 [00:22<00:03,  1.15s/it, psnr=6.6147][A | evaluating all images at step=30000:  87%|████████▋ | 20/23 [00:22<00:03,  1.15s/it, psnr=6.4170][A | evaluating all images at step=30000:  91%|█████████▏| 21/23 [00:24<00:02,  1.14s/it, psnr=6.4170][A | evaluating all images at step=30000:  91%|█████████▏| 21/23 [00:24<00:02,  1.14s/it, psnr=6.6503][A | evaluating all images at step=30000:  96%|█████████▌| 22/23 [00:25<00:01,  1.16s/it, psnr=6.6503][A | evaluating all images at step=30000:  96%|█████████▌| 22/23 [00:25<00:01,  1.16s/it, psnr=6.9497][A | evaluating all images at step=30000: 100%|██████████| 23/23 [00:26<00:00,  1.14s/it, psnr=6.9497][A | evaluating all images at step=30000: 100%|██████████| 23/23 [00:26<00:00,  1.14s/it, psnr=6.9021][A | evaluating all images at step=30000: 100%|██████████| 23/23 [00:26<00:00,  1.15s/it, psnr=6.9021] | hashing predictions:   0%|          | 0/23 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 23/23 [00:00<00:00, 475.32it/s] | training: 100%|██████████| 30000/30000 [1:44:46<00:00,  4.77it/s, train/psnr=26.0395] | [1;36minfo:[0m Final evaluation results: |    psnr: 6.8581 |    ssim: 0.1803 |    mae: 0.4049 |    mse: 0.2065 |    lpips: 0.7147 | returncode=0 | elapsed_seconds=6295.15"
WildGaussians,self_CLG899III_Wheel_Loader,6.84851,0.16014,0.79104,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_self_CLG899III_Wheel_Loader_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\self_CLG899III_Wheel_Loader,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  73%|███████▎  | 16/22 [00:18<00:06,  1.14s/it, psnr=6.6822][A | evaluating all images at step=30000:  77%|███████▋  | 17/22 [00:19<00:05,  1.14s/it, psnr=6.6822][A | evaluating all images at step=30000:  77%|███████▋  | 17/22 [00:19<00:05,  1.14s/it, psnr=5.8805][A | evaluating all images at step=30000:  82%|████████▏ | 18/22 [00:20<00:04,  1.13s/it, psnr=5.8805][A | evaluating all images at step=30000:  82%|████████▏ | 18/22 [00:20<00:04,  1.13s/it, psnr=5.7864][A | evaluating all images at step=30000:  86%|████████▋ | 19/22 [00:21<00:03,  1.14s/it, psnr=5.7864][A | evaluating all images at step=30000:  86%|████████▋ | 19/22 [00:21<00:03,  1.14s/it, psnr=6.3180][A | evaluating all images at step=30000:  91%|█████████ | 20/22 [00:22<00:02,  1.13s/it, psnr=6.3180][A | evaluating all images at step=30000:  91%|█████████ | 20/22 [00:22<00:02,  1.13s/it, psnr=6.5217][A | evaluating all images at step=30000:  95%|█████████▌| 21/22 [00:23<00:01,  1.14s/it, psnr=6.5217][A | evaluating all images at step=30000:  95%|█████████▌| 21/22 [00:23<00:01,  1.14s/it, psnr=7.0319][A | evaluating all images at step=30000: 100%|██████████| 22/22 [00:24<00:00,  1.13s/it, psnr=7.0319][A | evaluating all images at step=30000: 100%|██████████| 22/22 [00:24<00:00,  1.13s/it, psnr=6.7597][A | evaluating all images at step=30000: 100%|██████████| 22/22 [00:24<00:00,  1.14s/it, psnr=6.7597] | hashing predictions:   0%|          | 0/22 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 22/22 [00:00<00:00, 439.97it/s] | training: 100%|██████████| 30000/30000 [1:37:37<00:00,  5.12it/s, train/psnr=18.1588] | [1;36minfo:[0m Final evaluation results: |    psnr: 6.8485 |    ssim: 0.1601 |    mae: 0.3876 |    mse: 0.2085 |    lpips: 0.7910 | returncode=0 | elapsed_seconds=5863.68"
WildGaussians,web_metopa_images,4.99807,0.15911,0.86573,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_web_metopa_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\web_metopa_images,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  57%|█████▋    | 8/14 [00:11<00:08,  1.46s/it, psnr=4.3409][A | evaluating all images at step=30000:  64%|██████▍   | 9/14 [00:13<00:07,  1.48s/it, psnr=4.3409][A | evaluating all images at step=30000:  64%|██████▍   | 9/14 [00:13<00:07,  1.48s/it, psnr=5.8909][A | evaluating all images at step=30000:  71%|███████▏  | 10/14 [00:14<00:05,  1.46s/it, psnr=5.8909][A | evaluating all images at step=30000:  71%|███████▏  | 10/14 [00:14<00:05,  1.46s/it, psnr=5.9366][A | evaluating all images at step=30000:  79%|███████▊  | 11/14 [00:16<00:04,  1.45s/it, psnr=5.9366][A | evaluating all images at step=30000:  79%|███████▊  | 11/14 [00:16<00:04,  1.45s/it, psnr=6.3989][A | evaluating all images at step=30000:  86%|████████▌ | 12/14 [00:17<00:02,  1.45s/it, psnr=6.3989][A | evaluating all images at step=30000:  86%|████████▌ | 12/14 [00:17<00:02,  1.45s/it, psnr=4.3832][A | evaluating all images at step=30000:  93%|█████████▎| 13/14 [00:19<00:01,  1.48s/it, psnr=4.3832][A | evaluating all images at step=30000:  93%|█████████▎| 13/14 [00:19<00:01,  1.48s/it, psnr=5.4630][A | evaluating all images at step=30000: 100%|██████████| 14/14 [00:20<00:00,  1.46s/it, psnr=5.4630][A | evaluating all images at step=30000: 100%|██████████| 14/14 [00:20<00:00,  1.46s/it, psnr=5.0019][A | evaluating all images at step=30000: 100%|██████████| 14/14 [00:20<00:00,  1.46s/it, psnr=5.0019] | hashing predictions:   0%|          | 0/14 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 14/14 [00:00<00:00, 341.46it/s] | training: 100%|██████████| 30000/30000 [2:18:15<00:00,  3.62it/s, train/psnr=27.4934] | [1;36minfo:[0m Final evaluation results: |    psnr: 4.9981 |    ssim: 0.1591 |    mae: 0.5430 |    mse: 0.3208 |    lpips: 0.8657 | returncode=0 | elapsed_seconds=8302.18"
WildGaussians,web_statue_images,7.65753,0.08179,0.72469,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_web_statue_images_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\web_statue_images,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  54%|█████▍    | 7/13 [00:09<00:08,  1.35s/it, psnr=9.5105] [A | evaluating all images at step=30000:  62%|██████▏   | 8/13 [00:10<00:06,  1.34s/it, psnr=9.5105][A | evaluating all images at step=30000:  62%|██████▏   | 8/13 [00:10<00:06,  1.34s/it, psnr=10.2929][A | evaluating all images at step=30000:  69%|██████▉   | 9/13 [00:12<00:05,  1.35s/it, psnr=10.2929][A | evaluating all images at step=30000:  69%|██████▉   | 9/13 [00:12<00:05,  1.35s/it, psnr=6.4111] [A | evaluating all images at step=30000:  77%|███████▋  | 10/13 [00:13<00:04,  1.34s/it, psnr=6.4111][A | evaluating all images at step=30000:  77%|███████▋  | 10/13 [00:13<00:04,  1.34s/it, psnr=5.2862][A | evaluating all images at step=30000:  85%|████████▍ | 11/13 [00:14<00:02,  1.35s/it, psnr=5.2862][A | evaluating all images at step=30000:  85%|████████▍ | 11/13 [00:14<00:02,  1.35s/it, psnr=9.2281][A | evaluating all images at step=30000:  92%|█████████▏| 12/13 [00:16<00:01,  1.34s/it, psnr=9.2281][A | evaluating all images at step=30000:  92%|█████████▏| 12/13 [00:16<00:01,  1.34s/it, psnr=7.8092][A | evaluating all images at step=30000: 100%|██████████| 13/13 [00:17<00:00,  1.35s/it, psnr=7.8092][A | evaluating all images at step=30000: 100%|██████████| 13/13 [00:17<00:00,  1.35s/it, psnr=7.0805][A | evaluating all images at step=30000: 100%|██████████| 13/13 [00:17<00:00,  1.34s/it, psnr=7.0805] | hashing predictions:   0%|          | 0/13 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 13/13 [00:00<00:00, 371.43it/s] | training: 100%|██████████| 30000/30000 [2:34:33<00:00,  3.24it/s, train/psnr=21.8471] | [1;36minfo:[0m Final evaluation results: |    psnr: 7.6575 |    ssim: 0.0818 |    mae: 0.3678 |    mse: 0.1821 |    lpips: 0.7247 | returncode=0 | elapsed_seconds=9279.39"
WildGaussians,self_Steam_Locomotive,7.3751,0.08657,0.8724,True,G:\WL3DGS\3dgs_runs\external_baselines_20260620\logs\wildgaussians_r1_self_Steam_Locomotive_train_render_metrics.log,G:\wl3dgs\3dgs_runs\external_baselines_20260620\wildgaussians_r1_iter30000\self_Steam_Locomotive,1,0,False,False,False,False,False,False,"evaluating all images at step=30000:  40%|████      | 4/10 [00:04<00:06,  1.12s/it, psnr=5.1787][A | evaluating all images at step=30000:  50%|█████     | 5/10 [00:05<00:05,  1.14s/it, psnr=5.1787][A | evaluating all images at step=30000:  50%|█████     | 5/10 [00:05<00:05,  1.14s/it, psnr=7.1135][A | evaluating all images at step=30000:  60%|██████    | 6/10 [00:06<00:04,  1.13s/it, psnr=7.1135][A | evaluating all images at step=30000:  60%|██████    | 6/10 [00:06<00:04,  1.13s/it, psnr=6.0876][A | evaluating all images at step=30000:  70%|███████   | 7/10 [00:07<00:03,  1.14s/it, psnr=6.0876][A | evaluating all images at step=30000:  70%|███████   | 7/10 [00:07<00:03,  1.14s/it, psnr=9.4765][A | evaluating all images at step=30000:  80%|████████  | 8/10 [00:09<00:02,  1.13s/it, psnr=9.4765][A | evaluating all images at step=30000:  80%|████████  | 8/10 [00:09<00:02,  1.13s/it, psnr=6.3327][A | evaluating all images at step=30000:  90%|█████████ | 9/10 [00:10<00:01,  1.14s/it, psnr=6.3327][A | evaluating all images at step=30000:  90%|█████████ | 9/10 [00:10<00:01,  1.14s/it, psnr=7.3409][A | evaluating all images at step=30000: 100%|██████████| 10/10 [00:11<00:00,  1.13s/it, psnr=7.3409][A | evaluating all images at step=30000: 100%|██████████| 10/10 [00:11<00:00,  1.13s/it, psnr=11.7194][A | evaluating all images at step=30000: 100%|██████████| 10/10 [00:11<00:00,  1.13s/it, psnr=11.7194] | hashing predictions:   0%|          | 0/10 [00:00<?, ?it/s][A | hashing predictions: 100%|██████████| 10/10 [00:00<00:00, 454.54it/s] | training: 100%|██████████| 30000/30000 [1:34:40<00:00,  5.28it/s, train/psnr=14.1420] | [1;36minfo:[0m Final evaluation results: |    psnr: 7.3751 |    ssim: 0.0866 |    mae: 0.3655 |    mse: 0.1973 |    lpips: 0.8724 | returncode=0 | elapsed_seconds=5685.00"
