argument,current_value,equal,expected_metric_impact,historical_value,notes,source_of_current_value,source_of_historical_value
use_colors_precomp,True,True,none,True,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
use_features_mask,True,True,none,True,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
use_kmap_pjmap,True,True,none,True,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
use_lpips_loss,True,True,none,True,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
map_num,3,True,none,3,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
map_generator_type,unet,True,none,unet,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
color_net_type,naive,True,none,naive,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
feature_maps_dim,16,True,none,16,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
features_dim,48,True,none,48,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
map_generator_lr,0.002,True,none,0.002,,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args,G:\wl3dgs\3dgs_runs\external_baselines_20260620\gs_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\cfg_args
