current_exists,current_sha256,equal,historical_exists,historical_worktree_sha256,relative_path
True,e2b50fb0e274547dd1eef778a8c66ebb49995c9805578a3757b8caf9b25cb228,False,True,66f8413b06b66bf419e510106fc7196ffc6263315de4540c009c440a5bf11f48,train.py
True,85f64d6b4e42d14f497d3c86bd3508f3b178651fc08bff515d2ed306fe480199,False,True,546d8f593497129159aca39ecca1c7327af63c1c98429f43d3569417c06891fc,render.py
True,4643a44e5b2e0e5129d2174ce6875c04217a960d67a79af7a4957622f432ec54,True,True,4643a44e5b2e0e5129d2174ce6875c04217a960d67a79af7a4957622f432ec54,metrics.py
True,3447ac07c27f04c01b2def413ca64fbfcd4d1b5747999576b789c69392b005b3,True,True,3447ac07c27f04c01b2def413ca64fbfcd4d1b5747999576b789c69392b005b3,metrics_half.py
True,bff1bc24e6acfbf9673484c4f197491cc731a295eff5d5597e21481de5dd356a,False,True,e7865b63d828f7df8c8b78916d2f2932560d03b615444d51927a279bbefd18d2,gaussian_renderer/__init__.py
True,bfc3eef20940ecb8eb9b1721216824ed3aa8986ab452a55207704fb56f97d536,False,True,12e3fc2dfc485f6904a6252dbed144cc125afa3051da2f977a465f96e84849a3,scene/__init__.py
True,9a6b612e41428c51214c23c0b6fb64ede15799fee0c507d791a1c411358c2f26,False,True,b3192fb213784af5df3ec8898b0427a4f4a6ff7589b621b0725902ed89f5858d,scene/dataset_readers.py
True,a8b0c0fc646ee2eb88441e57c4247183918c2cd4b2a00a515092c79ca454bae1,False,True,322c9bef4e9e41181b7d1e5ea1ca3cbd5eabdfeb91a2db2e175f0a9b4bcc13d8,scene/gaussian_model.py
True,9fc595c55f5122680f6abe704b84b8c5cf6d5b3ef7a14c51a4f9421044112cd5,False,True,5aa45606b6513c2d9e9a6eaf64df75919a0c1459108d269366d2916589fcf313,scene/cameras.py
True,7ac21d7a117acc77b0efcd176424cf05fb6ca1d30523947e7b5eb6a73ea0a335,True,True,7ac21d7a117acc77b0efcd176424cf05fb6ca1d30523947e7b5eb6a73ea0a335,utils/camera_utils.py
True,47949e71f2d4aadebfccd38019717a1ec3b9c00d83ada1732b78a757ba73f92b,True,True,47949e71f2d4aadebfccd38019717a1ec3b9c00d83ada1732b78a757ba73f92b,utils/image_utils.py
True,d953538bb492de3d324aa4c2a3f745277855fe329b9fde944bf4d22b2b37870a,False,True,8e390bffabe63b36bf8658ac51f4acb36af658c4b151f9187665fe36ed12053e,arguments/__init__.py
True,a025e8f55a3317f4eef46b9c1bbfa27881a13a1562c83226f159c441fe1766d1,True,True,a025e8f55a3317f4eef46b9c1bbfa27881a13a1562c83226f159c441fe1766d1,arguments/args_init.py
True,daacfe1a6d614db09979dcea17eb930c958e4288cecff6edc6d7cb7d64ee8aca,True,True,daacfe1a6d614db09979dcea17eb930c958e4288cecff6edc6d7cb7d64ee8aca,net_modules/feature_maps_generators.py
True,84bd2d3503406b27fa6fd36908ad84913c0cffe549a15f7f3d48824e9f12acdb,True,True,84bd2d3503406b27fa6fd36908ad84913c0cffe549a15f7f3d48824e9f12acdb,net_modules/feature_maps_projection.py
True,2bb9d6a8904f6820afec47eb7af66af7b346e59d0b50404936237acc6ae466ef,True,True,2bb9d6a8904f6820afec47eb7af66af7b346e59d0b50404936237acc6ae466ef,net_modules/feature_maps_sample.py
True,42d32b5fa063a51514432962c5ad893f2a90ce9bdb1028f751d4f2ee00f39577,True,True,42d32b5fa063a51514432962c5ad893f2a90ce9bdb1028f751d4f2ee00f39577,net_modules/color_features_net.py
True,6a55c067ab414c2f68899b02ff1e4f9e035266df5d48ab55ab93784304995a3e,True,True,6a55c067ab414c2f68899b02ff1e4f9e035266df5d48ab55ab93784304995a3e,submodules/diff-gaussian-rasterization/diff_gaussian_rasterization/__init__.py
