run,scene,mode,render_file,image_name,split_role,appearance_source,pose_center_distance,psnr,ssim,lpips,render_min,render_max,render_mean,render_std,render_path
R1,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_intrinsic,00000.png,0001.jpg,test,zero_point_features,,11.082147598266602,0.42726024985313416,0.7074044942855835,0.0,1.0,0.4187905490398407,0.21972008049488068,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic\renders\00000.png
R1,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_intrinsic,00001.png,0009.jpg,test,zero_point_features,,13.798254013061523,0.4231376051902771,0.546085774898529,0.0,1.0,0.4130720794200897,0.25851497054100037,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic\renders\00001.png
R1,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_nearest_train,00000.png,0001.jpg,test,0002.jpg,1.5382812023,11.02218246459961,0.4234430491924286,0.7080972194671631,0.0,1.0,0.42085525393486023,0.2312736213207245,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_nearest_train\renders\00000.png
R1,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_nearest_train,00001.png,0009.jpg,test,0010.jpg,1.2534600496,13.740897178649902,0.41534942388534546,0.5458988547325134,0.0,1.0,0.4237392246723175,0.26486682891845703,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_nearest_train\renders\00001.png
R1,self_Trackmobile_4650TM_Mobile_Railcar_Mover,legacy_target_rgb,00000.png,0001.jpg,test,self_test_rgb,,11.073479652404785,0.42017391324043274,0.709553062915802,0.0,1.0,0.45833727717399597,0.22775013744831085,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_legacy_target_rgb\renders\00000.png
R1,self_Trackmobile_4650TM_Mobile_Railcar_Mover,legacy_target_rgb,00001.png,0009.jpg,test,self_test_rgb,,13.661243438720703,0.4034237265586853,0.5592815279960632,0.0,1.0,0.4270508885383606,0.2662557065486908,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_legacy_target_rgb\renders\00001.png
R2,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_intrinsic,00000.png,0001.jpg,test,zero_point_features,,12.877260208129883,0.4725666642189026,0.7021631598472595,0.0,1.0,0.44114404916763306,0.17460750043392181,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic\renders\00000.png
R2,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_intrinsic,00001.png,0009.jpg,test,zero_point_features,,12.900354385375977,0.3973521888256073,0.5901750326156616,0.0,1.0,0.44118571281433105,0.24682414531707764,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic\renders\00001.png
R2,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_nearest_train,00000.png,0001.jpg,test,0002.jpg,1.5382812023,12.85171127319336,0.4710785150527954,0.6978908181190491,0.0,1.0,0.43377453088760376,0.178043931722641,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_nearest_train\renders\00000.png
R2,self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_nearest_train,00001.png,0009.jpg,test,0010.jpg,1.2534600496,12.739593505859375,0.3905572295188904,0.5931730270385742,0.0,1.0,0.43935686349868774,0.2530885636806488,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_nearest_train\renders\00001.png
