eval,image_name,legacy_tsv_uid_source,order_index,probe,role,source_path,split_mode
True,0002.jpg,extrinsic,0,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0003.jpg,extrinsic,1,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0004.jpg,extrinsic,2,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0005.jpg,extrinsic,3,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0006.jpg,extrinsic,4,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0007.jpg,extrinsic,5,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0008.jpg,extrinsic,6,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0010.jpg,extrinsic,7,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0011.jpg,extrinsic,8,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0012.jpg,extrinsic,9,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0013.jpg,extrinsic,10,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0014.jpg,extrinsic,11,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0015.jpg,extrinsic,12,historical_cfg_semantics,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0001.jpg,extrinsic,0,historical_cfg_semantics,test,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0009.jpg,extrinsic,1,historical_cfg_semantics,test,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
False,0002.jpg,intrinsic,0,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
