role,order,image_name,width,height,uid,fov_x,fov_y,R,T,image_path,is_test
train,0,0002.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.5912791786478676,-0.1472970302208378,-0.7929013291612171],[0.10344024330149104,0.9889097219406314,-0.10657240692145062],[0.7998056319901926,-0.01900386117147026,0.5999581687895783]]","[-2.8602570524442923,0.4620874014062089,3.496841133279289]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0002.jpg,False
train,1,0003.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.8261251356022558,-0.10166115088539647,-0.5542402644402616],[0.08190309270934802,0.9948089215357071,-0.060391166883966924],[0.5575025952682179,0.0044966691694913186,0.8301630178679256]]","[-2.360710301428645,0.36689782244588015,2.8897142849271136]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0003.jpg,False
train,2,0004.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.9751223880684688,-0.04781029247556148,-0.21644977297527437],[0.04885554982017233,0.998805718069245,-0.0005223063741546536],[0.21621624254300417,-0.010065460028289437,0.9762936151460808]]","[-2.0456966456889223,0.22898259449680292,2.296345218171438]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0004.jpg,False
train,3,0005.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.9813625206221905,-0.07053739319740147,-0.17875144552975178],[0.0729952444200289,0.997306282926266,0.007202244640025744],[0.17776191214689627,-0.02011601841095104,0.983867901902064]]","[-2.015384192503028,0.32905239038603984,2.4608502323845283]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0005.jpg,False
train,4,0006.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.999917384716546,-0.008032517913336173,0.01003505842509091],[0.007940267601918197,0.9999261619155271,0.009199068827499882],[-0.010108209140742133,-0.009118627794525078,0.9999073330739764]]","[-1.370863905449717,0.19354349073197297,2.0344627189827804]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0006.jpg,False
train,5,0007.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.9981767175879604,-0.01339141480247062,0.05885499532676257],[0.013642740609776027,0.9998994424004197,-0.003870492989802695],[-0.0587972456325927,0.004666379422841067,0.998259038931831]]","[-1.4271870397068678,0.26138817456947794,2.010839004455355]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0007.jpg,False
train,6,0008.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.9670941341697074,-0.0002322323417118773,0.2544187133893329],[-0.014873346327363906,0.9982377245670218,0.05744761805576496],[-0.2539836987359038,-0.05934131208015395,0.9653863938636361]]","[-0.5192495682871306,0.13982871583319292,1.7795014432550944]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0008.jpg,False
train,7,0010.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.740544277174485,0.018950685005095187,0.6717403107466139],[-0.07756831673726015,0.9953313624808028,0.05743374531281158],[-0.6675157899126191,-0.09463799659727841,0.7385569171143046]]","[1.252592145546717,0.1459965664013251,1.8222702451747903]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0010.jpg,False
train,8,0011.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.5692706215846906,0.012479938243370958,0.8220554789927634],[-0.08650203249233715,0.9952441757179485,0.044793181112708566],[-0.8175869114505654,-0.09660891180912302,0.56764281056293]]","[1.7726078173083482,0.137133831719207,2.0559967688530927]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0011.jpg,False
train,9,0012.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.2710488288100998,0.027359065370447425,0.9621767061942046],[-0.11782549889027143,0.9930219495628991,0.004955753984789181],[-0.9553270038117481,-0.11471220174137839,0.2723810319381903]]","[2.370294574106551,0.18134176162725815,2.684402501775777]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0012.jpg,False
train,10,0013.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.009990430996089202,0.02413956015218243,0.9996586782118043],[-0.14034694927352745,0.9898466967463199,-0.02250001711139296],[-0.9900519810182323,-0.1400742609334714,0.013276908744714544]]","[3.0562227032093756,0.22798311242543956,3.419923698064845]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0013.jpg,False
train,11,0014.jpg,1600,900,1,1.24431255917,0.766747343438,"[[-0.21752825346885374,0.039582374958213554,0.9752510930706296],[-0.13623827913501213,0.9881648108350057,-0.07049424037286953],[-0.9664991413556047,-0.14820101963240598,-0.20956113079193517]]","[3.105490608704768,0.3060414620707223,4.218894521203774]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0014.jpg,False
train,12,0015.jpg,1600,900,1,1.24431255917,0.766747343438,"[[-0.4466015755084779,0.03260655229568832,0.8941386053072167],[-0.14781887463196267,0.9829144132806008,-0.1096760523897188],[-0.8824378805649076,-0.18115206019430413,-0.43415126169513063]]","[3.146602259651784,0.44792792046655683,4.9715989028339544]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0015.jpg,False
test,0,0001.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.2694146607740657,-0.1472754597205676,-0.9516962117840391],[0.11367065596221099,0.9861918910575795,-0.1204347789693478],[0.956292174250692,-0.07573303754881659,0.2824354519009852]]","[-2.95190718197304,0.6677830774450438,4.447114124180442]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0001.jpg,True
test,1,0009.jpg,1600,900,1,1.24431255917,0.766747343438,"[[0.876925280429834,0.019080296512147026,0.4802478472914433],[-0.05429132051849814,0.9967487808338008,0.05953419540641723],[-0.47755052618483695,-0.07828033080755546,0.8751100986443049]]","[0.41213699169697127,0.1424783680796824,1.708137791448956]",G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover\images\0009.jpg,True
