role,scene,split,index,image_name,image_path,decoded_rgb_sha256
M,web_Terrestrial,train,0,IMG_6285.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6285.TIF,853d74b494af084f531406a13a374d1f0f1237a10c1c9992eed4617bc3d214de
M,web_Terrestrial,train,1,IMG_6287.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6287.TIF,17c929ca49e3d069e1dfb4484c806cb2c77617db8aa7e4b135cd6341da08bf58
M,web_Terrestrial,train,2,IMG_6289.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6289.TIF,6e79cb3a4ec9217ddc9df3a008dbd54eb0007604af62fcd82ffc7b5a7cb96967
M,web_Terrestrial,train,3,IMG_6291.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6291.TIF,44670b0cfaca074a89c3750c42cf5508eb95d0eb1d67315e7e52fb90f02a1c3e
M,web_Terrestrial,train,4,IMG_6293.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6293.TIF,769d9de18bbed8e9384727941af30d5d446fd1d8b3a902346e7b77151e862f2d
M,web_Terrestrial,train,5,IMG_6295.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6295.TIF,0d0eb9535c15b9d6d22a2fad80c0397f7a6b00c26f018b37a771124f9a6e986f
M,web_Terrestrial,train,6,IMG_6297.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6297.TIF,66bee9d8534860f144f602f91fcc3ac53a4824a12fe7468f80db3bb819bb98c5
M,web_Terrestrial,train,7,IMG_6301.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6301.TIF,c2ee504ba49984885937a850efb2d270af3197df6bec8b3482d63c246a4ea5e2
M,web_Terrestrial,train,8,IMG_6303.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6303.TIF,925ad8fc689b545183946276dc6be063a58883016ccb43d722b5c2e139571610
M,web_Terrestrial,train,9,IMG_6305.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6305.TIF,10e4e538af647346bf75a5a04ffeb35b4e6f828957a3c217ff31968b7e0d2294
M,web_Terrestrial,train,10,IMG_6307.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6307.TIF,77539b498398aedb0e3eb9972903ac4cf8da61906884a2955831601e4263208b
M,web_Terrestrial,train,11,IMG_6309.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6309.TIF,7d4fe61da7e376f4a86917245ce560fa695a51f14e9e594243e891c9185feace
M,web_Terrestrial,train,12,IMG_6311.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6311.TIF,3acf5538d093185b72e710db5bd9b361104c15108106307c87780bc3ac01967f
M,web_Terrestrial,train,13,IMG_6313.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6313.TIF,a3fe849bce8c0b34214bc76b9a3abfed20074adc2f7ed2b9a52acee2f7f2eccc
M,web_Terrestrial,train,14,IMG_6317.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6317.TIF,7d2cf0faed7045fe2b63ab6cab12f517eb62a89c8ebe8b77eb1d48e43141d478
M,web_Terrestrial,train,15,IMG_6319.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6319.TIF,fef548018d3db859cc7cff18dc83cf84eef89aa61ae36c1684203b4e2ddb36c8
M,web_Terrestrial,train,16,IMG_6321.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6321.TIF,05fb1b0287fea1df782e2b10ac99f841c4dcf4f97f4c7d1e4cb85982ff0768a5
M,web_Terrestrial,train,17,IMG_6323.TIF,G:\wl3dgs\3dgs_undistorted\max1600\web_Terrestrial\images\IMG_6323.TIF,f874e2896cf9369536eefb621e27ec864ad95fa950941191676d95e8d93e6049
